X,Y,GC_NOM_D_O,TYPE,ID_ADM1,ADM1,ID_ADM2,ADM2,ID_ADM3,NOM_ADM3,ADM3,NO_ADM4,ID_ADM4,NOM_ADM4,ADM4,Shape_Le_1,Shape_Ar_1,bbox
-72.781980721132499,19.584379741559999,Dolan,lieudit secondaire1,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,0.517182160000000,0.007744730000000,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.757883898692896,19.546960982977598,Bois D'Huis,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,0.517182160000000,0.007744730000000,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.762972510785701,19.611736964063802,Ca Lanmac,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,0.517182160000000,0.007744730000000,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.754955582562800,19.605658169464501,La Fortune,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,0.517182160000000,0.007744730000000,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.808706268502505,19.547377215511499,Platon Dumé,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,0.517182160000000,0.007744730000000,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.784057505609397,19.655332545026202,Opet,lieudit secondaire1,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.763561481562704,19.638044783742298,Ti Fond,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.765352565756103,19.644317025536800,Cammon,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.771499757218507,19.663062008549101,Faguet,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.722950578078496,19.647695700403201,Moulin,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.755800647635496,19.632655522184500,Méron,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,7,521-07,7ème Moulin,MOULIN,0.325528490000000,0.005278660000000,"(4:-72.80210107090755,19.61556416785226,-72.6926112737911,...)"
-72.838844855195902,19.657724854728102,Vieux Camp,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,3,522-03,3ème Lagon,LAGON,0.346720540000000,0.003581500000000,"(4:-72.8787213190335,19.63738613995855,-72.78475965163648,...)"
-72.825193128533002,19.658354977754701,Nan Canot,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,3,522-03,3ème Lagon,LAGON,0.346720540000000,0.003581500000000,"(4:-72.8787213190335,19.63738613995855,-72.78475965163648,...)"
-72.826869375974894,19.682526895366301,Lagon,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,3,522-03,3ème Lagon,LAGON,0.346720540000000,0.003581500000000,"(4:-72.8787213190335,19.63738613995855,-72.78475965163648,...)"
-72.793583624817302,19.676087582608002,Merci,lieudit secondaire2,5,Artibonite,52,Gros Morne,522,Terre Neuve,TERRE NEUVE,3,522-03,3ème Lagon,LAGON,0.346720540000000,0.003581500000000,"(4:-72.8787213190335,19.63738613995855,-72.78475965163648,...)"
-72.770346705979094,19.738029158932498,Mayo,lieudit autre,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.731674693335094,19.727455308558699,Chaise,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.734483611490802,19.746041613028201,Ti Davis,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.772081953319500,19.760070041101500,Jolivert,lieudit autre,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.717557711707997,19.683861724530701,Lacorne,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.791490891196005,19.697973114091599,Viard,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.783439322866002,19.714799388484600,Souqui,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.753804494135494,19.727977970641000,Chaise,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-72.772306650500198,19.752133978165102,Corose,lieudit secondaire2,5,Artibonite,52,Gros Morne,521,Gros Morne,GROS MORNE,6,521-06,6ème Savane Carrée,SAVANE CAREE,0.421553820000000,0.009298540000000,"(4:-72.83280684565926,19.6690875523488,-72.7055360496488,19.78885081781118)"
-71.859670954424800,18.793360415576601,Dos Bois Rouge,lieudit secondaire1,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
-71.859817938199200,18.846658946036101,Mésidor,lieudit secondaire2,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
-71.861190997958900,18.865088355224302,Lucas,lieudit secondaire2,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
-71.887876524741600,18.848023966129102,Colora,lieudit secondaire2,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
-71.870415364405403,18.853445337857700,Colora,lieudit secondaire2,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
-71.881484339237304,18.831180447329999,Poulie,lieudit secondaire2,6,Centre,63,Lascahobas,632,Belladères,BELLADERE,3,632-03,3ème Riaribes,RIARIBES,0.372453730000000,0.005708210000000,"(4:-71.89635742925179,18.77993253266044,-71.78434003986081,...)"
