X,Y,LAT,LONG,FC,DSG,SORT_NAME_,FULL_NAME_,FULL_NAM_1,SORT_NAM_1,FULL_NAM_2,FULL_NAM_3,NOTE,ADM1_1,ADM2,ADM3,NO_ADM4,ID_ADM4,NOM_ADM4,ADM4,bbox
-72.05,19.15,19.15,-72.05,L,LCTY,NANROCHER,Nan Rocher,Nan Rocher,NANROCHER,Nan Rocher,Nan Rocher,,Centre,Hinche,HINCHE,1,611-01,1ère Juanaria,JUANARIA,"(4:-72.19051800020537,19.01590897721769,-71.99172612915737,...)"
-74.35,18.316667,18.316667,-74.35,L,LCTY,NANROCHE,Nan Roche,Nan Roche,NANROCHE,Nan Roche,Nan Roche,,Sud,Chardonnières,TIBURON,1,753-01,1ère Blactote,BLACTOTE,"(4:-74.40185638556358,18.28984835691631,-74.28793246311255,...)"
-71.833333,18.166667,18.166667,-71.833333,L,LCTY,RECIF,Récif,Recif,RECIF,Récif,Recif,,Sud-Est,Belle Anse,ANSE-A-PITRE,1,234-01,1ère Boucan Guillaume,BOUCAN GUILLAUME,"(4:-71.85445092936675,18.03161457305424,-71.73568347061553,...)"
-72.366667,19.65,19.65,-72.366667,L,LCTY,PHILOGENE,Philogene,Philogene,PHILOGENE,Philogene,Philogene,,Nord,Acul du Nord,ACUL DU NORD,5,321-05,1ère Coupe à David,COUP A DAVID,"(4:-72.3721109531578,19.62638879021068,-72.32268364063736,...)"
-71.75,19.55,19.55,-71.75,L,LCTY,MARQUIS,Marquis,Marquis,MARQUIS,Marquis,Marquis,,Nord-Est,Ouanaminte,OUANAMINTHE,1,421-01,1ère Haut Maribahoux,HAUT MARIBAHOUX,"(4:-71.82459339157163,19.52132878279724,-71.71194023815133,...)"
-72.9,19.833333,19.833333,-72.9,L,LCTY,SAVANEMARC,Savane Marc,Savane Marc,SAVANEMARC,Savane Marc,Savane Marc,,Nord-Ouest,Port-de-Paix,PORT DE PAIX,8,911-07,8ème Bas des Moustiques,BAS DES MOUSTIQUES,"(4:-73.0140613171759,19.7869181801301,-72.88459538486899,19.93207811940982)"
-72.9,19.833333,19.833333,-72.9,L,LCTY,SAVANEMARE,Savane Mare,Savane Mare,SAVANEMARE,Savane Mare,Savane Mare,,Nord-Ouest,Port-de-Paix,PORT DE PAIX,8,911-07,8ème Bas des Moustiques,BAS DES MOUSTIQUES,"(4:-73.0140613171759,19.7869181801301,-72.88459538486899,19.93207811940982)"
-71.866667,19.516667,19.516667,-71.866667,L,LCTY,SAVANEMANIGAT,Savane Manigat,Savane Manigat,SAVANEMANIGAT,Savane Manigat,Savane Manigat,,Nord-Est,Fort-Liberté,FORT LIBERTE,1,411-03,1ère L'Oiseau,LOISEAU,"(4:-71.8956519443816,19.42404068682839,-71.82069974080025,...)"
-72.383333,19.283333,19.283333,-72.383333,L,LCTY,SAVANELONGUE,Savane Longue,Savane Longue,SAVANELONGUE,Savane Longue,Savane Longue,,Artibonite,Marmelade,SAINT-MICHEL,6,551-06,6ème Lacedras,LACEDRAS,"(4:-72.40086043895792,19.22182766611405,-72.27426304540307,...)"
-72.083333,19.15,19.15,-72.083333,L,LCTY,SAVANELINE,Savane Line,Savane Line,SAVANELINE,Savane Line,Savane Line,,Centre,Hinche,HINCHE,1,611-01,1ère Juanaria,JUANARIA,"(4:-72.19051800020537,19.01590897721769,-71.99172612915737,...)"
-71.833333,19.533333,19.533333,-71.833333,L,LCTY,SAVANELETUF,Savane le Tuf,Savane le Tuf,SAVANELETUF,Savane le Tuf,Savane le Tuf,,Nord-Est,Fort-Liberté,FORT LIBERTE,1,411-03,1ère L'Oiseau,LOISEAU,"(4:-71.8956519443816,19.42404068682839,-71.82069974080025,...)"
-72.216667,18.666667,18.666667,-72.216667,L,LCTY,CORAILCESSELLES,Corail Cesselles,Corail Cesselles,CORAILCESSELLES,Corail Cesselles,Corail Cesselles,,Ouest,Croix des Bouquets,THOMAZEAU,1,132-03,1ère Crochus,CROCHUS,"(4:-72.24427003913087,18.64509855515433,-72.15559361815082,...)"
-72.816667,19.683333,19.683333,-72.816667,L,LCTY,LAPUCELLE,La Pucelle,La Pucelle,LAPUCELLE,La Pucelle,La Pucelle,,Artibonite,Gros Morne,TERRE NEUVE,3,522-03,3ème Lagon,LAGON,"(4:-72.8787213190335,19.63738613995855,-72.78475965163648,...)"
-71.966667,19.65,19.65,-71.966667,L,LCTY,LAPORTE,La Porte,La Porte,LAPORTE,La Porte,La Porte,,Nord-Est,Trou du Nord,TERRIER ROUGE,1,433-01,1ère Fond Blanc,FONDS BLANC,"(4:-71.99152893121504,19.6005404327949,-71.84568154027073,...)"
-73.85,18.316667,18.316667,-73.85,L,LCTY,LAPORTE,La Porte,La Porte,LAPORTE,La Porte,La Porte,,Sud,Cayes,CAMP PERRIN,1,714-01,1ère Lévy,LEVY MERSAN,"(4:-73.86890509099698,18.26541016884437,-73.81153710115615,...)"
-72.766667,19.25,19.25,-72.766667,L,LCTY,GRANDTROU,Grand Trou,Grand Trou,GRANDTROU,Grand Trou,Grand Trou,,Artibonite,Dessalines,GRANDE SALINE,2,543-01,1ère Poteneau,POTENEAU,"(4:-72.77949928676253,19.2202906006309,-72.62398485831443,...)"
-72.516667,18.833333,18.833333,-72.516667,L,LCTY,BOISBRULE,Bois Brûlé,Bois Brule,BOISBRULE,Bois Brûlé,Bois Brule,,Ouest,Arcahaie,ARCAHAIE,5,141-02,5ème Délices,DES DELICES,"(4:-72.52298020067559,18.78488054320269,-72.3603175226354,...)"
-72.216667,19.483333,19.483333,-72.216667,L,LCTY,BARON,Baron,Baron,BARON,Baron,Baron,,Nord,Saint Raphaël,ST. RAPHAEL,1,341-01,1ère Bois Neuf,BOIS NEUF,"(4:-72.25705812882944,19.41361804433745,-72.20062603286499,...)"
-72.266667,19.75,19.75,-72.266667,L,LCTY,CARRE,Carre,Carre,CARRE,Carre,Carre,,Nord,Acul du Nord,PLAINE DU NORD,1,322-01,1ère Morne rouge,MORNE ROUGE,"(4:-72.32001548972289,19.69557176282677,-72.24506830525792,...)"
-72.163889,19.688611,19.688611,-72.163889,L,LCTY,CARRE,Carre,Carre,CARRE,Carre,Carre,,Nord,Cap Haïtien,QUARTIER MORIN,2,312-02,3ème Morne Pelé,MORNE PELEE,"(4:-72.2070273649208,19.59615799779351,-72.14147726216578,...)"
